关系ID,关系类型,起始节点ID,结束节点ID,关系属性
671,ROOT_CAUSE_IS,1103,1116,{triplet_source_id: 4e0d8f9d-4e2e-40c2-84fd-bd724b8b2661}
672,ROOT_CAUSE_IS,1117,1103,{triplet_source_id: 42c1b2cb-9e97-4db7-92b7-a5d08a088888}
673,CAUSED_BY,1118,1100,{triplet_source_id: 98e364f1-7c4a-4c29-b6f1-b266be11fe6c}
674,CAUSED_BY,1118,1119,{triplet_source_id: 98e364f1-7c4a-4c29-b6f1-b266be11fe6c}
675,ASSOCIATED_WITH,1120,1121,{triplet_source_id: 369b189a-164a-4952-9f46-e78c303376dc}
676,CAUSED_BY,1122,1123,{triplet_source_id: 843dd4bb-66e3-4259-b7f9-3def1fa8df1b}
677,OCCURS_IN_STAGE,1109,1111,{triplet_source_id: c6ad7aea-020f-4889-8f96-e581c73bf138}
678,CAUSED_BY,1109,1100,{triplet_source_id: c6ad7aea-020f-4889-8f96-e581c73bf138}
679,CAUSED_BY,1109,1124,{triplet_source_id: c6ad7aea-020f-4889-8f96-e581c73bf138}
680,OCCURS_IN_STAGE,1125,1126,{triplet_source_id: f500277e-4372-45f2-a9a2-fa2217a8258a}
681,CAUSED_BY,1125,1127,{triplet_source_id: f500277e-4372-45f2-a9a2-fa2217a8258a}
682,CAUSED_BY,1125,1128,{triplet_source_id: f500277e-4372-45f2-a9a2-fa2217a8258a}
683,CAUSED_BY,1125,1129,{triplet_source_id: f500277e-4372-45f2-a9a2-fa2217a8258a}
684,CAUSED_BY,1109,1110,{triplet_source_id: 780de8b0-03e4-455a-b569-d29aaba98e3e}
685,OCCURS_IN_STAGE,1130,1111,{triplet_source_id: 0f3a7da5-3754-4917-8b7e-e290ab37c654}
686,CAUSED_BY,1130,1100,{triplet_source_id: 0f3a7da5-3754-4917-8b7e-e290ab37c654}
687,CAUSED_BY,1130,1131,{triplet_source_id: 0f3a7da5-3754-4917-8b7e-e290ab37c654}
688,OCCURS_IN_STAGE,1132,1111,{triplet_source_id: c479724e-2b44-45d9-bcc4-8251fc30c5c6}
689,CAUSED_BY,1130,1133,{triplet_source_id: 35da67d1-5388-4eb4-b8b4-5b6667e60cd6}
690,CAUSED_BY,1130,1134,{triplet_source_id: 35da67d1-5388-4eb4-b8b4-5b6667e60cd6}
691,ROOT_CAUSE_IS,1135,1110,{triplet_source_id: 7ff061b3-b74f-4150-9f42-04d769374e3b}
692,OCCURS_IN_STAGE,1136,1137,{triplet_source_id: 7ff061b3-b74f-4150-9f42-04d769374e3b}
693,CAUSED_BY,1138,1109,{triplet_source_id: bdd422a9-d533-41f9-ad29-a726a5d01229}
694,OCCURS_IN_STAGE,1139,1111,{triplet_source_id: 193fd6ea-a586-428f-a13d-642e1a92b08d}
